Party,Party.1,Candidate,Votes,%,±
,Democratic,Maria Cantwell (incumbent),1803364,58.43%,-2.02%
,Republican,Susan Hutchison,1282804,41.57%,+2.02%
Total votes,Total votes,Total votes,3086168,100%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
