Party,Party.1,Candidate,Votes,%,±
,Democratic,Chris Murphy (incumbent),825579,59.53%,+4.71%
,Republican,Matthew Corey,545717,39.35%,-3.94%
,Libertarian,Richard Lion,8838,0.64%,-1.02%
,Green,Jeff Russell,6618,0.48%,
,Write-in,Write-in,88,<0.01%,
Total votes,Total votes,Total votes,1386840,100.00%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
