Party,Party.1,Candidate,Votes,%,±
,Democratic,Mazie Hirono (incumbent),276316,71.15%,+8.55%
,Republican,Ron Curtis,112035,28.85%,-8.55%
Total votes,Total votes,Total votes,388351,100%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
