Party,Party.1,Candidate,Votes,%,±
,Democratic,Bob Casey Jr. (incumbent),2792437,55.74%,+2.05%
,Republican,Lou Barletta,2134848,42.62%,-1.97%
,Libertarian,Dale Kerns,50907,1.02%,-0.70%
,Green,Neal Gale,31208,0.62%,
Total votes,Total votes,Total votes,5009400,100%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
