Party,Party.1,Candidate,Votes,%,±
,Democratic,Elizabeth Warren (incumbent),1633371,60.34%,+6.60%
,Republican,Geoff Diehl,979210,36.17%,-10.02%
,Independent,Shiva Ayyadurai,91710,3.39%,
,Write-in,Write-in,2799,0.10%,
Total votes,Total votes,Total votes,2707090,100.00%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
