Party,Party.1,Candidate,Votes,%,±
,Democratic,Patrick Leahy (incumbent),192243,61.26%,-3.10%
,Republican,Scott Milne,103637,33.03%,+2.10%
,Marijuana,Cris Ericson,9156,2.92%,+1.76%
,Independent,Jerry Trudell,5223,1.66%,
,Liberty Union,Peter Diamondstone,3241,1.03%,+0.42%
,Write-in,Write-ins,309,0.10%,
Total votes,Total votes,Total votes,"'313,809'",'100.0%',
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
