Party,Party.1,Candidate,Votes,%,±
,Republican,Ted Cruz (incumbent),4260553,50.89%,-5.57%
,Democratic,Beto O'Rourke,4045632,48.33%,+7.71%
,Libertarian,Neal Dikeman,65470,0.78%,-1.28%
Total votes,Total votes,Total votes,8371655,100%,
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
