Party,Party.1,Candidate,Votes,%,±
,Republican,Mike Braun,1161546,50.77%,+6.45%
,Democratic,Joe Donnelly (incumbent),1025178,44.81%,-5.20%
,Libertarian,Lucy Brenton,101153,4.42%,-1.26%
,Write-in,Write-in,70,<0.01%,
Total votes,Total votes,Total votes,2287947,100.00%,
,Republican gain from Democratic,Republican gain from Democratic,Republican gain from Democratic,Republican gain from Democratic,Republican gain from Democratic
