Party,Party.1,Candidate,Votes,%,±
,Republican,John Hoeven (incumbent),268788,78.48%,+2.40%
,Democratic-NPL,Eliot Glassheim,58116,16.97%,-5.20%
,Libertarian,Robert Marquette,10556,3.08%,+1.45%
,Independent,James Germalic,4675,1.36%,
,,Write-ins,366,0.11%,
Total votes,Total votes,Total votes,"'342,501'",'100.0%',
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
