Party,Party.1,Candidate,Votes,%,±
,Independent,Angus King (incumbent),344575,54.31%,+1.42%
,Republican,Eric Brakey,223502,35.23%,+4.48%
,Democratic,Zak Ringelstein,66268,10.45%,-2.81%
,Write-in,Write-in,64,0.01%,
Total votes,Total votes,Total votes,634409,100.00%,
,Independent hold,Independent hold,Independent hold,Independent hold,Independent hold
