Party,Party.1,Candidate,Votes,%,±
,Democratic,Sherrod Brown (Incumbent),2355923,53.41%,+2.70%
,Republican,Jim Renacci,2053963,46.57%,+1.87%
,Write-in,Write-in,1012,0.02%,
Total votes,Total votes,Total votes,4417079,100.00%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
