Party,Party.1,Candidate,Votes,%,±
,Republican,Rick Scott,4099505,50.06%,+7.82%
,Democratic,Bill Nelson (incumbent),4089472,49.93%,-5.30%
,Write-in,Write-in,607,<0.01%,
Total votes,Total votes,Total votes,8189584,100.00%,
,Republican gain from Democratic,Republican gain from Democratic,Republican gain from Democratic,Republican gain from Democratic,Republican gain from Democratic
