Party,Party.1,Candidate,Votes,%,±
,Democratic,Maggie Hassan,354649,47.98%,+11.24%
,Republican,Kelly Ayotte (incumbent),353632,47.84%,-12.32%
,Independent,Aaron Day,17742,2.40%,
,Libertarian,Brian Chabot,12597,1.70%,+0.65%
,,Write-ins,520,0.07%,
Total votes,Total votes,Total votes,"'739,140'",'100.0%',
,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican
