Party,Party.1,Candidate,Votes,%,±
,Republican,Ryan Zinke (incumbent),285358,56.19%,+0.78%
,Democratic,Denise Juneau,205919,40.55%,+0.14%
,Libertarian,Rick Breckenridge,16554,3.26%,-0.92%
Total votes,Total votes,Total votes,"'507,831'",'100.0%',
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
