Party,Party.1,Candidate,Votes,%,±
,Republican,Liz Cheney (incumbent),127963,63.58%,+1.55%
,Democratic,Greg Hunter,59903,29.77%,-0.20%
,Libertarian,Richard Brubaker,6918,3.44%,-0.15%
,Constitution,Daniel Clyde Cummings,6070,3.02%,-1.10%
,,Write-ins,391,0.19%,-0.10%
Total votes,Total votes,Total votes,"'201,245'",'100.0%',
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
