County,Trump#,Trump%,Clinton#,Clinton%,Johnson#,Johnson%,Stein#,Stein%,McMullin#,McMullin%,Other#,Other%,Total
Kent,36991,49.6%,33351,44.7%,2876,3.9%,1042,1.4%,109,0.2%,229,0.3%,74598
New Castle,85525,32.6%,162919,62.1%,9107,3.5%,3956,1.5%,514,0.2%,370,0.1%,262391
Sussex,62611,59.1%,39333,37.1%,2774,2.6%,1105,1.0%,83,0.1%,102,0.1%,106008
