Party,Party.1,Candidate,Votes,%,±
,Republican,Mike Lee (incumbent),760241,68.15%,+6.59%
,Democratic,Misty Snow,301860,27.06%,-5.71%
,Independent American,Stoney Fonua,27340,2.45%,
,Independent,Bill Barron,26167,2.34%,
Total votes,Total votes,Total votes,"'1,115,608'",'100.0%',
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
