County,County,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Total
Mora,votes,1536,665,194,35,5,4,1,1,2441
Otero,percent,30.53%,59.26%,8.04%,0.84%,0.81%,0.33%,0.11%,0.07%,100.00%
Otero,votes,6124,11886,1613,169,162,67,23,15,20059
Quay,percent,28.47%,61.93%,8.37%,0.42%,0.48%,0.22%,0.06%,0.06%,100.00%
Quay,votes,1017,2212,299,15,17,8,2,2,3572
Rio Arriba,percent,64.47%,24.19%,9.58%,1.26%,0.19%,0.11%,0.11%,0.09%,100.00%
Rio Arriba,votes,9592,3599,1425,188,28,17,16,13,14878
Roosevelt,percent,24.44%,65.28%,8.10%,0.81%,0.97%,0.18%,0.13%,0.08%,100.00%
Roosevelt,votes,1454,3884,482,48,58,11,8,5,5950
San Juan,percent,27.90%,60.61%,9.11%,0.76%,1.09%,0.27%,0.21%,0.05%,100.00%
San Juan,votes,12865,27946,4200,352,503,125,97,22,46110
San Miguel,percent,67.76%,21.51%,8.51%,1.49%,0.33%,0.23%,0.09%,0.07%,100.00%
San Miguel,votes,7285,2313,915,160,35,25,10,8,10751
Sandoval,percent,44.91%,41.99%,10.79%,1.02%,0.90%,0.21%,0.12%,0.06%,100.00%
Sandoval,votes,27707,25905,6657,627,553,129,76,36,61690
Santa Fe,percent,71.10%,20.06%,6.11%,2.03%,0.41%,0.10%,0.13%,0.04%,100.00%
Santa Fe,votes,50793,14332,4362,1452,295,75,95,30,71434
Sierra,percent,31.11%,58.10%,8.53%,1.51%,0.39%,0.23%,0.12%,0.02%,100.00%
Sierra,votes,1612,3010,442,78,20,12,6,1,5181
Socorro,percent,48.24%,38.09%,11.68%,0.87%,0.57%,0.22%,0.29%,0.04%,100.00%
Socorro,votes,3313,2616,802,60,39,15,20,3,6868
Taos,percent,69.91%,17.87%,7.73%,4.04%,0.20%,0.04%,0.18%,0.03%,100.00%
Taos,votes,10668,2727,1179,617,31,6,27,5,15260
Torrance,percent,28.23%,58.73%,10.94%,1.04%,0.57%,0.25%,0.14%,0.09%,100.00%
Torrance,votes,1785,3714,692,66,36,16,9,6,6324
Union,percent,18.80%,71.45%,7.87%,0.76%,0.53%,0.41%,0.06%,0.12%,100.00%
Union,votes,320,1216,134,13,9,7,1,2,1702
Valencia,percent,39.29%,47.89%,11.04%,0.79%,0.58%,0.23%,0.10%,0.07%,100.00%
Valencia,votes,10841,13215,3046,219,161,63,28,19,27592
Total,percent,48.26%,40.04%,9.34%,1.24%,0.73%,0.19%,0.15%,0.06%,100.00%
Total,votes,385234,319666,74541,9879,5825,1514,1184,475,798318
