Party,Party.1,Candidate,Votes,%,±
,Republican,Don Young (incumbent),155088,50.32%,-0.65%
,Democratic,Steve Lindbeck,111019,36.02%,-4.95%
,Libertarian,Jim McDermott,31770,10.31%,+2.70%
,Independent,Bernie Souphanavong,9093,2.95%,
,Write-in,Write-in,1228,0.40%,-0.06%
Total votes,Total votes,Total votes,308198,100.00%,
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
