Party,Party.1,Candidate,Votes,%,±
,Democratic,Kyrsten Sinema,1191100,49.96%,+3.76%
,Republican,Martha McSally,1135200,47.61%,-1.62%
,Green,Angela Green,57442,2.41%,
,Write-in,Write-in,566,0.02%,
Total votes,Total votes,Total votes,2384308,100.00%,
,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican
