Party,Party.1,Candidate,Votes,%,±
,Democratic,Patty Murray (incumbent),1913979,59.01%,+6.65%
,Republican,Chris Vance,1329338,40.99%,-6.65%
Total votes,Total votes,Total votes,3243317,100.00%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
