Party,Party.1,Candidate,Votes,%,±
,Democratic,Doug Jones,673896,49.97%,
,Republican,Roy Moore,651972,48.34%,−48.91%
,Write-in,Write-in,22852,1.69%,−1.06%
Total votes,Total votes,Total votes,1348720,100.00%,
,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican
