Party,Party.1,Candidate,Votes,%,±
,Democratic,Tammy Baldwin (incumbent),1472914,55.36%,+3.95%
,Republican,Leah Vukmir,1184885,44.53%,-1.33%
,Write-in,Write-in,2964,0.11%,
Total votes,Total votes,Total votes,2660763,100.00%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
