Party,Party.1,Candidate,Votes,%,±
,Democratic,Martin Heinrich (incumbent),376998,54.09%,+3.08%
,Republican,Mick Rich,212813,30.53%,-14.75%
,Libertarian,Gary Johnson,107201,15.38%,
Total votes,Total votes,Total votes,697012,100%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
