Party,Party.1,Candidate,Votes,%,±
,Democratic,Joe Manchin (incumbent),290510,49.57%,-11.0%
,Republican,Patrick Morrisey,271113,46.26%,+9.79%
,Libertarian,Rusty Hollen,24411,4.17%,
Total votes,Total votes,Total votes,586034,100.00%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
